0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:02:23 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:02:24 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10406
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:02:24 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:02:24 +0530] "GET /CradleOfLife/pages/img/blog/single_blog_4.png HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:20:12 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:20:12 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:35 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:35 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:36 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:37 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:44 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:44 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:51 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:51 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:52 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:52 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:54 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:23:54 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:24:06 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:24:06 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:29:00 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:29:00 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:42 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:42 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:51 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:51 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:52 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:52 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:54 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:54 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:57 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:30:57 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/pages/aboutus.jsp HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator1.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator2.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator3.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/theme/img/testmonial/testmonial.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [31/Aug/2023:14:32:22 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:01:40 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:01:40 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:29:30 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:29:51 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:29:51 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:29:51 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:36:52 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:36:52 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:37:39 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:37:39 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:43:33 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:43:33 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:47:35 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [31/Aug/2023:15:47:36 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:42:17 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:42:17 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:42:17 +0530] "GET /CradleOfLife/theme/img/favicon.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:56:43 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:56:43 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:56:43 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:07 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:07 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:13 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:13 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:15 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:15 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:29 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:29 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10407
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:29 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:29 +0530] "GET /CradleOfLife/pages/img/blog/single_blog_4.png HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:36 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:36 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:39 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:39 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:40 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:40 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:42 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10407
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:42 +0530] "GET /CradleOfLife/pages/img/blog/single_blog_4.png HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:57:42 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:58:13 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:16:58:13 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:23:57 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:23:57 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:23:57 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:27 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:27 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:28 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:28 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:30 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:30 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:32 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:32 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:33 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:33 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:36 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:36 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:38 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:38 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:39 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:39 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:42 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:42 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:50 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:50 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:24:50 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
