127.0.0.1 - - [01/Sep/2023:01:35:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:35:22 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:35:23 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:35:23 +0530] "GET /CradleOfLife/theme/img/favicon.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:36:13 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:36:13 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:36:13 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:36:55 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:36:55 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:01 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:01 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:08 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:08 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:23 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:23 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10406
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:23 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:23 +0530] "GET /CradleOfLife/pages/img/blog/single_blog_4.png HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:31 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10406
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:31 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:31 +0530] "GET /CradleOfLife/pages/img/blog/single_blog_4.png HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:39 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:39 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:44 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:44 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/aboutus.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/aboutus.jsp HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator2.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator1.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/img/latest_blog/incubator3.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/theme/img/testmonial/testmonial.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:49 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:55 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:37:56 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:16 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:18 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:20 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:20 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:35 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:49 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:49 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:49 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:56 +0530] "GET /CradleOfLife/pages/aboutusNGo.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:56 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:56 +0530] "GET /CradleOfLife/pages/img/testmonial/author_img.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:56 +0530] "GET /CradleOfLife/theme/img/testmonial/testmonial.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:58 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11062
0:0:0:0:0:0:0:1 - - [01/Sep/2023:01:38:58 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
