127.0.0.1 - - [26/Aug/2023:00:29:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:29:22 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 500 2378
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:29:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:29:26 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 500 2378
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:30:34 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 500 2378
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:31:30 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 500 2378
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:33:58 +0530] "GET /CradleOfLife/pages/login.jsp HTTP/1.1" 200 11041
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:33:58 +0530] "GET /CradleOfLife/theme/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:33:58 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:10 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:10 +0530] "GET /CradleOfLife/pages/index.jsp HTTP/1.1" 200 8267
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:10 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:16 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:16 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:27 +0530] "GET /CradleOfLife/pages/ngoinfo.jsp HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:27 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:30 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 200 5991
0:0:0:0:0:0:0:1 - - [26/Aug/2023:00:34:30 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
